MENU_TYPE,RESTAURANT_NAME_KOREAN,ADDRESS_KOREAN,MENU_NAME,NATIONAL_PHONE_NUMBER,DISTRICT_NAME,LATITUDE,LONGITUDE,RESTAURANT_NAME_ENGLISH,ADDRESS_ENGLISH,OPENING_HOURS,RATING,RATING_COUNT,PRICE_LEVEL,TAKEOUT_YN,RESERVABLE,BREAKFAST_YN,LUNCH_YN,DINNER_YN,BEER_YN,OUTDOOR_SEAT_YN,MENU_FOR_CHILDREN_YN,RESTROOM_YN,PARKING_LOT_YN,PAYMENT_OPTIONS,REVIEW
식육(숯불구이),행복한빅마마,부산광역시 연제구 월드컵대로 151 (연산동),돼지갈비,051-852-0218,연제구,35.187,129.08,,"Busan, South Korea",,4.3,37.0,,,True,,True,True,True,False,False,True,,acceptsCreditCards,"A reasonably delicious house. They mainly sell thinly sliced ​​pork belly. The characteristics of this restaurant include light meat, numerous self-service side dishes, and the typical taste of thinly sliced ​​pork belly. The taste is just delicious, and it's a decent restaurant that's cleaner than other thinly sliced ​​pork belly restaurants that don't have anything special to say.
I find it when I think of it.
On this day, I visited after floor construction.
They gave me so little of the other vegetables that I wanted them, so I felt like I had to keep asking for them. Since it's not a self-serve bar, I had to ask for it, so it's not like they gave me a lot ㅡㅡ
Pork restaurant.
I had a delicious meal
I guess the price is good.
Is it cheap or cheap?
Clean and delicious
The owner and staff are also very friendly.
This place is highly recommended.
It was so healing and I had fun eating it. The owner is also nice.
"
한식,해운대 신 대구탕,"부산광역시 연제구 월드컵대로 146 (연산동,1층)",대구탕,051-867-7611,연제구,35.187,129.08,,"Busan, South Korea","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",3.7,288.0,,True,True,True,True,True,True,False,False,True,freeParkingLot,acceptsCreditCards,"Not bad
Nice and fresh fish and soup~~
Good
✅ Although the craftsmanship may vary slightly from chain store to chain, the Daegu Soup located next to the Lower Layer Hotel is solid and clean. Frozen cod is used, so it has a good chewy flesh, and most of all, the cool soup and oden are well seasoned and delicious, and a piece of traditional seaweed that looks like it has been thrown in has a nice firm and chewy texture. It's just a hangover and it's so good that you want to come back again.👍🏻
A 24-hour daegu stew restaurant located near Hadan in Busan.
The broth is plentiful and refreshing and spicy, making it perfect for a hangover the day after drinking.
Plenty of meat too. They said it was open 24 hours a day, but due to the coronavirus, it is closed from 10 PM to 5 AM.
Please try it once...
"
뷔페식,해암뷔페,"부산광역시 연제구 중앙대로 1099 (연산동,,13)",뷔페,051-867-7600,연제구,35.186,129.081,Haeam Buffet Wedding Hall,"South Korea, Busan, Yeonje-gu, Jungang-daero, 1099 해암빌딩",,3.4,106.0,,False,,,,,,,,,,,"Good
It is located near Exit 3 of Yeonsan Subway Station, so transportation is convenient, and it is great for gatherings at an affordable price.
While singing a meal at a gathering,
It was fun and I was rowing.
Although the amount of food was somewhat insufficient,
The satisfaction level compared to the price is good.
Because it is an old building, the parking lot is very limited.
The food is good for the price.
The parking lot is a bit small and inconvenient.
(Only 2 disabled seats)
"
한식,할매보쌈,부산광역시 연제구 월드컵대로145번길 11 (연산동),보쌈,051-853-8005,연제구,35.186,129.08,,"South Korea, Seoul, Gwanak-gu, 신림동 1432-76","Monday: 11:00AM–12:00PM
Tuesday: 11:00AM–12:00PM
Wednesday: 11:00AM–12:00PM
Thursday: 11:00AM–12:00PM
Friday: 11:00AM–12:00PM
Saturday: 11:00AM–12:00PM
Sunday: 11:00AM–12:00PM",3.9,79.0,,True,True,,True,True,True,False,False,True,,acceptsCreditCards,"A house where slow eating is forced

I visited again after almost 6 years, and the interior and taste have not changed.
I don't know if tray noodles are sold separately, but if you order the main menu, tray noodles are provided together.
Please note that if you visit during lunch time, you may not be able to order seafood pancakes and kimchi pancakes.

The reason I visit this restaurant is the radish soybean paste soup. The radish soybean paste soup at other restaurants is sometimes very thick or spicy, but the radish soybean paste soup at Halmae Bossam is just the right amount of seasoning.
Thanks to that, it is a restaurant that comes to mind when you think of radish soybean paste soup. Should I say that it is clean and there are no soybeans or anything like that on the bottom?
If you ask for a refill of soup, they will serve you a large bowl with a ladle in it.
In the case of garlic, if you request a refill, they provide a lot of it.

I ordered the jokbo set, but it came out later than the baekban that I ordered later at another table, probably because the pig's feet were heated before serving.
The bossam and pig's feet were clean without any spicy smell, the radish kimchi was sweet, and the cabbage kimchi had a refreshing taste.
It is said that an additional fee is charged for refilling kimchi.

Actually, the problem with this restaurant is that the tray noodles included in the menu are served a long time later, but it feels like it took 15 minutes.
In the case of the tray noodles, the tangy taste of the mustard was very strong, and the sweet and sour taste went well with the greasy meat.

I wish the noodles came out a little faster, but I can soothe my disappointment by eating some seaweed soup while the noodles come out, so I guess - + 0.

Monagi is a restaurant that is not special.
Willing to visit again in the future
I forgot about it for a while, but when I went back, it was still delicious. It was the same as before.
I'm still thankful that Bossam Set Meal (lunch special) is only 8,000 won. Soft bossam ^^;;
I remember that the lunch special was cheap when I went there in the early 90's. I heard that they set the price so that the elderly people in the area could come and enjoy bossam and a glass of takju without burden, and it seems that they still do that.
Next time I go nearby, I'll definitely stop by.
When I went this time, the price for bossam set meal had been increased to ₩7,000. Still, it is a good value for money place.
Long history, simple but bossam... deep taste of cabbage soybean paste soup... it's full of seniors in the evening.
Bossam set menu is cheap and delicious! 🤤Sari set menu is also delicious!🤗Bossam set menu and Sari set meal are served from 11 am to 3 pm!🙂 Pig's feet are also available!😀You can eat it while sitting on a chair!😀
Let's go have a cup of coffee.
"
중국식,팔선각,부산광역시 연제구 법원로32번길 10 (거제동),중식,051-507-9555,연제구,35.191,129.075,,,,,,,,,,,,,,,,,,
일식,팔미초밥,"부산광역시 연제구 월드컵대로119번길 8, 팔미빌딩 2층 (연산동)",회초밥,051-865-0160,연제구,35.185,129.082,,"South Korea, Busan, Yeonje-gu, World cup-daero 119beon-gil, 8 2층","Monday: 11:30AM–10:00PM
Tuesday: 11:30AM–10:00PM
Wednesday: 11:30AM–10:00PM
Thursday: 11:30AM–10:00PM
Friday: 11:30AM–10:00PM
Saturday: 11:30AM–9:00PM
Sunday: Closed",4.0,290.0,PRICE_LEVEL_MODERATE,,True,False,True,True,True,False,False,True,,acceptsCreditCards,"So so good. Taste is very good
Loud, super unkind, ordinary food...
Totally not worth it for the cost
Better try other places..🥲🥲🥲
I have mouth , but I have nothing to say except the star
Wonderful Japanese restaurant
It's a place where you can taste clean, high-quality food at reasonable prices.
"
탕류(보신용),토곡정,부산광역시 연제구 과정로 112-1 (연산동),삼계탕,051-755-5666,연제구,35.181,129.108,,,,,,,,,,,,,,,,,,
한식,토곡식육식당,부산광역시 연제구 토곡로 7 (연산동),소고기 모듬구이,051-751-9280,연제구,35.183,129.106,,,,,,,,,,,,,,,,,,
한식,청산민물장어,부산광역시 연제구 월드컵대로145번길 42 (연산동),장어구이,051-853-8892,연제구,35.185,129.08,,"South Korea, Busan, Yeonje-gu, 연산제5동 1288-22",,4.0,54.0,,,,,,,,,,,,,"Freshwater eel is neatly cut on a hot iron plate and served in one bite.
There are salt grills and seasoned grills.
It has no fishy taste and is clean.
The taste of eel is average for the price. No preparations were made for group guests (they showed up late).
There are no supplementary foods other than eel as a side dish (only ssam types are available).
The side dishes were neat and the restaurant was clean.
The eel taste was soft and good.
The depth of flavor seems to be a little less than before, but it's still there.
It's worth eating to protect yourself...
I enjoyed the freshwater eel!
I want to go again when I get the chance.
"
한식,청담동 대구뽈찜 아구찜,"부산광역시 연제구 월드컵대로120번길 12 (연산동,1층)",아구찜,051-866-8008,연제구,35.185,129.083,,,,,,,,,,,,,,,,,,
