Tourist_Spot_Name_Korean,District,Major_Category,Minor_Category,Number_of_Visit
해동 용궁사(부산),기장군,역사관광지,사찰,27536
오륙도 스카이워크,남구,건축/조형물,유명건물,22505
다대포 꿈의 낙조분수,사하구,건축/조형물,분수,18952
해운대 블루라인파크,해운대구,휴양관광지,테마공원,15380
부산 자갈치시장,중구,쇼핑,상설시장,14178
죽성성당(드림세트장),기장군,체험관광지,이색체험,10466
기장해녀촌(연화리횟촌),기장군,체험관광지,이색거리,10014
밀락더마켓,수영구,체험관광지,이색체험,9193
부산엑스더스카이,해운대구,건축/조형물,유명건물,9145
스포원파크,금정구,휴양관광지,공원,8395
태종대 (부산 국가지질공원),영도구,자연관광지,해안절경,7956
아홉산숲,기장군,자연관광지,산,7533
해운대수목원,해운대구,자연관광지,수목원,7438
해운대해수욕장,해운대구,자연관광지,해수욕장,7437
청사포 다릿돌전망대,해운대구,건축/조형물,유명건물,7355
부산 감천문화마을,사하구,체험관광지,농.산.어촌 체험,7275
태종대 다누비열차,영도구,체험관광지,이색체험,6895
용소웰빙공원,기장군,휴양관광지,공원,6341
장미원,북구,휴양관광지,공원,5880
더베이101,해운대구,건축/조형물,유명건물,5739
송도용궁구름다리,서구,건축/조형물,다리/대교,5722
해운대 달맞이길,해운대구,자연관광지,자연생태관광지,5457
안데르센 동화마을,기장군,체험관광지,농.산.어촌 체험,5425
범어사(부산),금정구,역사관광지,사찰,5137
승학산,사하구,자연관광지,산,4991
오륙도 (부산 국가지질공원),남구,자연관광지,섬,4638
신평소공원,기장군,휴양관광지,공원,4617
부산 송도해상케이블카,서구,체험관광지,이색체험,4557
해운대 그린레일웨이 (미포~송정 구간),해운대구,자연관광지,자연생태관광지,4487
허심청,동래구,휴양관광지,온천/욕장/스파,4374
오시리아 해안산책로,기장군,자연관광지,자연생태관광지,4317
다대포해수욕장,사하구,자연관광지,해수욕장,3960
남파랑길(부산),남구,육상 레포츠,트래킹,3827
광안리회센터(민락어민활어직판장_씨랜드회센터),수영구,쇼핑,전문매장/상가,3678
부산 암남공원,서구,휴양관광지,공원,3642
광안리해수욕장,수영구,자연관광지,해수욕장,3630
송도 구름산책로(스카이워크),서구,육상 레포츠,트래킹,3536
장림포구,사하구,자연관광지,항구/포구,3502
홍유단 광안점,수영구,음식점,중식,3422
일광해수욕장,기장군,자연관광지,해수욕장,3406
구포 무장애숲길,북구,육상 레포츠,트래킹,3379
땅뫼산,금정구,자연관광지,산,3316
오륙도해맞이공원,남구,휴양관광지,공원,3313
호천마을,부산진구,체험관광지,농.산.어촌 체험,3311
신세계사이먼 부산 프리미엄 아울렛,기장군,쇼핑,전문매장/상가,3300
절영해안산책로,영도구,자연관광지,자연생태관광지,3289
낙동강 생태탐방선,사하구,자연관광지,자연생태관광지,3233
태종사,영도구,역사관광지,사찰,3217
태종대 전망대,영도구,건축/조형물,유명건물,3216
부산 송도해수욕장,서구,자연관광지,해수욕장,3179
부산 치유의 숲,기장군,휴양관광지,헬스투어,2941
송정시장 (5_ 10일),기장군,쇼핑,5일장,2816
부산항힐링야영장,동구,육상 레포츠,야영장_오토캠핑장,2776
남도해양열차 S-트레인(S-train),동구,체험관광지,이색체험,2586
문탠로드,해운대구,육상 레포츠,트래킹,2538
흰여울문화마을,영도구,체험관광지,농.산.어촌 체험,2491
영도 조내기 고구마 역사기념관,영도구,문화시설,기념관,2488
