Tourist_Spot_Name_English,Tourist_Spot_Name_Korean,District,Major_Category,Minor_Category,Number_of_Visit
Haedong Yonggungsa Temple,해동 용궁사,기장군,역사관광지,사찰,32710
Spa Land Centum City,스파랜드 센텀시티,해운대구,휴양관광지,온천/욕장/스파,30401
Busan Gamcheon Culture Village,부산 감천문화마을,사하구,체험관광지,농.산.어촌 체험,25818
Haeundae Blue Line Park,해운대 블루라인파크,해운대구,휴양관광지,테마공원,23956
Huinnyeoul Culture Village,흰여울문화마을,영도구,체험관광지,농.산.어촌 체험,16273
Jagalchi Market,부산 자갈치시장,중구,쇼핑,상설시장,14182
Shinsegae Centum City,신세계 센텀시티,해운대구,쇼핑,백화점,12985
Hwangnyeongsan Mountain,황령산,남구,자연관광지,산,10824
BIFF Square,BIFF 광장,중구,체험관광지,이색거리,10716
Oryukdo Skywalk,오륙도 스카이워크,남구,건축/조형물,유명건물,10697
BUSAN X the SKY,부산엑스더스카이,해운대구,건축/조형물,유명건물,10661
Haeundae Beach,해운대해수욕장,해운대구,자연관광지,해수욕장,9135
Busan Diamond Tower,부산다이아몬드타워,중구,건축/조형물,기념탑/기념비/전망대,8888
Gukje Market,국제시장,중구,쇼핑,상설시장,8472
Gwangalli Beach,광안리해수욕장,수영구,자연관광지,해수욕장,7829
Busan Haeundae Traditional Market,부산 해운대전통시장,해운대구,쇼핑,상설시장,6964
Bupyeong,Kkangtong,중구,쇼핑,상설시장,5753
Taejongdae Cliffed Coast [National Geopark],태종대,영도구,자연관광지,해안절경,4665
Songdo Cloud Walk,송도 구름산책로,서구,육상 레포츠,트래킹,4300
Seomyeon Underground Shopping Center,서면지하도상가,부산진구,쇼핑,전문매장/상가,4118
Busan Cinema Center,부산 영화의 전당,해운대구,산업관광지,기타,3980
Busan Beomeosa Temple,범어사,금정구,역사관광지,사찰,3826
Lotte Department Store - Busan Branch,롯데백화점,부산진구,쇼핑,백화점,3821
Busan Gwangandaegyo Bridge,부산 광안대교,해운대구,건축/조형물,다리/대교,3718
Nampo-dong Underground Shopping Center,남포동 지하도상가,중구,쇼핑,전문매장/상가,3573
Samgwangsa Temple,삼광사,부산진구,역사관광지,사찰,2368
Dalmaji-gil Road,해운대 달맞이길,해운대구,자연관광지,자연생태관광지,2357
Busan Songdo Beach,부산 송도해수욕장,서구,자연관광지,해수욕장,2230
Nurimaru APEC House,누리마루 APEC하우스,해운대구,문화시설,컨벤션센터,2147
168 Stairs,168계단,동구,체험관광지,이색체험,2067
Sondo Yonggung Suspension Bridge,송도용궁구름다리,서구,건축/조형물,다리/대교,1939
Dadaepo Sunset Fountain of Dream,다대포 꿈의 낙조분수,사하구,건축/조형물,분수,1857
BEXCO,벡스코,해운대구,문화시설,컨벤션센터,1854
Lotte Premium Outlets - Dongbusan Branch,롯데 프리미엄아울렛 동부산점,기장군,쇼핑,전문매장/상가,1843
Songjeong Beach,송정해수욕장,해운대구,자연관광지,해수욕장,1832
Hurshimchung,허심청,동래구,휴양관광지,온천/욕장/스파,1798
Busan Museum,부산박물관,남구,문화시설,박물관,1776
Yongdusan Park,용두산공원,중구,자연관광지,자연생태관광지,1747
Daejeo Ecological Park,대저생태공원,강서구,자연관광지,자연생태관광지,1624
Busan Lotte World,부산롯데월드,기장군,휴양관광지,테마공원,1603
Samjin Fish Cake History Museum · History Hall,삼진어묵체험·역사관,영도구,산업관광지,기타,1568
BIFF Square,BIFF 광장,중구,체험관광지,이색체험,1556
Dadaepo Beach,다대포해수욕장,사하구,자연관광지,해수욕장,1519
Shinsegae Simon Busan Premium Outlets,신세계사이먼 부산 프리미엄 아울렛,기장군,쇼핑,전문매장/상가,1483
